title,網址,標籤,keywords
落枕按摩有用嗎？按摩腋下緩解落枕，還能防心肌梗塞,https://www.everydayhealth.com.tw//article/14504,"['養生保健', '落枕', '疼痛', '伸展', '按摩', '腋下', '自律神經']","['落枕', '伸展', '自律神經', '疼痛', '養生保健', '腋下', '導致', '按摩', '神經']"
青椒輸了！甜椒炒肉絲滿滿B群，1盤改善酸痛抗老花,https://www.everydayhealth.com.tw//article/22075,"['健康飲食', '甜椒', '豬肉', '維生素B6', '促進血液循環', '肩頸僵硬', '肩膀酸痛']","['維生素B6', '酸痛', '甜椒', '肩頸僵硬', '肩膀', '促進血液循環', '肩膀酸痛', '流動', '豬肉', '健康飲食', '血液', '僵硬']"
果菜汁瘦身法爆紅！關鍵營養控血糖，月瘦3kg不挨餓,https://www.everydayhealth.com.tw//article/22044,"['健康飲食', '果菜汁', '綠拿鐵', '蔬果汁', '茄紅素', '降血糖', '不節食減肥']","['發胖', '果菜汁', '茄紅素', '降血糖', '蔬果', '蔬果汁', '血糖', '不節食減肥', '紅素', '健康飲食', '綠拿鐵']"
哪兩種甜的食物會降低血糖？腎臟科名醫解答出乎意料！,https://www.everydayhealth.com.tw//article/22078,"['健康飲食', '蜂蜜', '黑巧克力', '降血糖']","['不過', '黑巧克力', '降血糖', '兩種', '巧克力', '蜂蜜', '血糖', '健康飲食']"
日本原裝進口「愛斯飛特」 活性高單位B群擺脫酸與痛,https://www.everydayhealth.com.tw//article/22079,"['保健新聞', '腰痠背痛', '維生素B群']","['維生素B群', '飛特', '愛斯', '腰痠背痛', 'ESFIGHT', '糖衣', '維生素', '保健新聞']"
高血糖竟致多囊性卵巢、婦科惡癌！快做1招防糖尿病,https://www.everydayhealth.com.tw//article/22036,"['養生保健', '糖尿病', '降血糖', '多囊性卵巢症候群', '子宮內膜癌', '乳癌', '輕鬆控血糖']","['運動', '多囊性卵巢症候群', '胰島素', '糖尿病', '高強度', '降血糖', '多囊性', '輕鬆控血糖', '養生保健', '卵巢', '乳癌', '子宮內膜癌']"
科技不適感out  想維持晶亮舒適，用葉黃素保養要趁早,https://www.everydayhealth.com.tw//article/21907,"['保健新聞', '白蘭氏葉黃素', '3c族', '花青素']","['葉黃素', '醋栗', '花青素', '舒適', '白蘭', '3c族', '白蘭氏葉黃素', '保健新聞']"
飯前蒸黃豆、白飯配豆腐，有效抑制餐後高血糖！,https://www.everydayhealth.com.tw//article/22035,"['養生保健', '糖尿病', '降血糖', '豆腐', '白飯', '黃豆', '輕鬆控血糖']","['纖維', '糖尿病', '攝取', '降血糖', '黃豆', '豆腐', '白飯', '養生保健', '輕鬆控血糖', '血糖']"
「屁屁發癢」以為痔瘡，檢查竟直腸癌！6種屁屁異狀別再輕忽,https://www.everydayhealth.com.tw//article/21977,"['養生保健', '痔瘡', '大腸癌']","['發癢', '直腸', '痔瘡', '肛門', '檢查', '養生保健', '大腸癌']"
醫師的減醣餐桌大揭密：每天一杯「咖啡＋奶油」超好瘦,https://www.everydayhealth.com.tw//article/22014,"['健康飲食', '醣類', '低醣飲食', '限醣飲食', '減肥餐菜單', '防彈咖啡', '綠原酸']","['減肥餐菜單', '防彈咖啡', '奶油', '醣類', '限醣飲食', '低醣飲食', '咖啡', '綠原酸', '脂質', '攝取', '健康飲食']"
雞蛋別放冰箱門！專家：細菌入侵當心食物中毒,https://www.everydayhealth.com.tw//article/22056,"['健康飲食', '雞蛋', '冰箱收納', '食物中毒', '急性腸胃炎', '便當', '腹瀉']","['時期', '冰箱門', '雞蛋', '腹瀉', '急性腸胃炎', '冰箱收納', '食物中毒', '發燒', '健康飲食', '便當']"
維生素C降40％白內障！眼科醫師：半顆甜椒補好補滿,https://www.everydayhealth.com.tw//article/22067,"['健康飲食', '白內障', '保護眼睛', '眼睛病變', '甜椒', '眼睛保健']","['甜椒', '有助於', '白內障', '預防', '眼睛保健', '保護眼睛', '維生素', '健康飲食', '眼睛病變']"
專家教你：如何在30歲前花小錢買對健康險！一生有保障,https://www.everydayhealth.com.tw//article/22055,"['生活智慧', '保險', '醫療資源', '理財']","['醫療資源', '終身', '規劃', '理財', '保險', '保單', '000', '生活智慧', '健康險']"
日血管名醫的飲食菜單，關鍵就在早餐都喝這個,https://www.everydayhealth.com.tw//article/13822,"['健康飲食', '胡蘿蔔', '薑', '果汁', '心血管', '醣類', '抗老']","['薑', '醣類', '果汁', '便利商店', '心血管', '抗老', '攝取', '沙拉', '胡蘿蔔', '飲食', '健康飲食']"
喉嚨好，免疫力就好！醫師早餐天天「一杯」幫肺減齡！,https://www.everydayhealth.com.tw//article/22021,"['養生保健', '咳嗽', '呼吸', '呼吸訓練']","['呼吸肌', '呼吸訓練', '咳嗽', '呼吸', '年齡', '喉嚨', '養生保健', '飲料', '肺部']"
收入存銀行卻變少！日本股神的理財課：滾「金蛋」讓錢生錢,https://www.everydayhealth.com.tw//article/21965,"['生活智慧', '理財']","['這樣', '開始', '存錢', '理財', '銀行', '運用', '生活智慧']"
輕鬆控血糖！遠離腎衰竭、腦中風、心肌梗塞、乳癌…等70種重症風險,https://www.everydayhealth.com.tw//article/22073,"['養生保健', '糖尿病', '癌症', '降血糖', '少量多餐', '吃飯順序', '輕鬆控血糖']","['癌症', '輕鬆', '糖尿病', '降血糖', 'Part', '少量多餐', '高血糖', '血糖', '輕鬆控血糖', '養生保健', '病變', '吃飯順序']"
半夜腳抽筋的8個原因，睡覺腳抽筋按這穴道速效緩解！,https://www.everydayhealth.com.tw//article/3810,"['穴道導引', '腳抽筋', '按摩', '抽筋', '穴道按摩']","['抽筋', '腿抽筋', '腳抽筋', '發生', '半夜', '穴道導引', '穴道按摩', '睡眠', '按摩']"
咳嗽原因是感冒或肺癌？急性咳嗽和久咳都適用的止咳方法,https://www.everydayhealth.com.tw//article/18989,"['養生保健', '咳嗽', '止咳', '肺癌', '肺炎', '胃食道逆流', '痰', '久咳']","['止咳', '痰', '肺癌', '長期', '久咳', '聲音', '咳嗽', '養生保健', '胃食道逆流', '鼻涕', '發燒', '肺炎']"
2018十大死因！「頭號殺手」居榜首37年，當心4癌提早上門,https://www.everydayhealth.com.tw//article/22040,"['保健新聞', '癌症', '十大癌症']","['十大癌症', '癌症', '保健新聞', '口腔癌', '死亡率', '乳癌', '死因']"
想省電，燈泡這樣選！節電2撇步，一家省下75％照明用電！,https://www.everydayhealth.com.tw//article/22003,"['省電', '電器', '電費', '節省', '電視', '冰箱', '理財']","['省下', '簡單', '節省', '理財', '電費', '電器', '省電', '照明', '電視', '用電', '冰箱']"
咖啡、綠茶大PK！醫師：「想減肥、抗感冒」選這杯就對了,https://www.everydayhealth.com.tw//article/22012,"['健康飲食', '咖啡因', '綠原酸', '綠茶/茶類', '兒茶素', '腦中風', '中暑', '感冒']","['綠茶/茶類', '綠茶', '咖啡因', '夏天', '咖啡', '綠原酸', '兒茶素', '感冒', '中暑', '預防', '健康飲食', '腦中風']"
每週吃魚，降40％心血管疾病風險！一篇看懂怎麼吃才對？,https://www.everydayhealth.com.tw//article/21983,"['健康飲食', '鮪魚', '鯖魚', '秋刀魚', '沙丁魚', '心肌梗塞', '心臟病']","['心肌梗塞', '吃魚', '鮪魚', '沙丁魚', '健康飲食', '風險', '預防', '心臟病', '鯖魚', '每周', '秋刀魚']"
膝蓋一伸直就痛？最簡單膝蓋自救法「坐著伸展」告別膝痛,https://www.everydayhealth.com.tw//article/21987,"['關節疼痛', '膝蓋痛', '膝痛', '膝關節', '腰痛', '腰痠背痛', '肌力']","['膝蓋痛', '膝關節', '關節疼痛', '伸展', '膝痛', '腰痠背痛', '腰痛', '預防', '肌力', '膝蓋']"
耳聰目明，輕鬆長壽！學會靜坐，讓身體遠離缺氧、發炎、癌症,https://www.everydayhealth.com.tw//article/22015,"['其他身心健康', '靜坐', '癌症']","['癌症', '靜坐', '雙手', '其他身心健康', '氧氣', '吸氣', '動作']"
汗流浹背是糖尿病？86歲阿嬤「這件事」成功控制糖尿病,https://www.everydayhealth.com.tw//article/22039,"['保健新聞', '糖尿病', '高血糖', '糖化血色素']","['數值', '糖尿病', '流汗', '高血糖', '血糖', '游能俊', '保健新聞', '糖化血色素']"
姚黛瑋不藏私！人生下半場該如何備戰,https://www.everydayhealth.com.tw//article/21999,"['健康飲食', '均衡營養', '規律運動', '三鐵']","['運動', '規律運動', '均衡營養', '營養', '均衡', '三鐵', '飲食', '健康飲食', '姚黛瑋']"
好不了的肩痛原來是手腕害的？2招手腕伸展讓筋膜恢復彈性！,https://www.everydayhealth.com.tw//article/21817,"['肩頸痠痛', '肩膀酸痛', '肩頸僵硬', '手腕', '筋膜', '血液循環', '身體僵硬']","['筋膜', '血液循環', '酸痛', '肩頸僵硬', '身體僵硬', '肩膀酸痛', '手腕', '肩膀', '肩頸痠痛', '僵硬']"
維持高度專注力的秘密！營養師：葉黃素打底、蝦紅素加強,https://www.everydayhealth.com.tw//article/22025,"['保健新聞', '專注力', '葉黃素', '蝦紅素', '玉米黃素']","['葉黃素', '醫護人員', '專注力', '保健新聞', '蝦紅素', '手術', '長時間', '專注', '玉米黃素']"
5大超級食物幫大忙！減輕體重，就是減輕動脈和關節的負擔,https://www.everydayhealth.com.tw//article/21962,"['健康飲食', '肥胖', '蛋白質', '膳食纖維', '脂肪']","['膳食纖維', '蛋白質', '超級', '體重', '減輕', '脂肪', '肥胖', '健康飲食', '減重']"
「高半胱胺酸」危害不輸壞膽固醇！醫：護住血管壁這樣吃,https://www.everydayhealth.com.tw//article/21769,"['健康飲食', '高半胱胺酸', '膽固醇', '高血脂', '三酸甘油酯', '葉酸', '蜆', '海苔', '味噌', '味噌湯']","['蜆', '味噌', '味噌湯', '葉酸', '海苔', '三酸甘油酯', '高半', '高半胱胺酸', '高血脂', '維生素', '胱胺酸', '健康飲食', '膽固醇']"
口乾舌燥、皮膚癢...更年期多吃7食物補腎清虛熱,https://www.everydayhealth.com.tw//article/14293,"['健康飲食', '缺水', '皮膚乾癢', '女性荷爾蒙', '更年期', '飲食', '枸杞', '山藥']","['枸杞', '皮膚乾癢', '更年期', '缺水', '女性荷爾蒙', '陰道', '山藥', '搔癢', '乾澀', '皮膚', '飲食', '健康飲食']"
28歲橫掃國際設計大獎！江孟芝：你的選擇決定你的模樣,https://www.everydayhealth.com.tw//article/22000,"['生活便利貼', '憂鬱症', '心靈']","['成為', '畢業', '設計', '江孟芝', '心靈', '憂鬱症', '比較', '生活便利貼']"
頭暈變嚴重？有這8種症狀，小心腦傷急症警訊！,https://www.everydayhealth.com.tw//article/21944,"['養生保健', '暈眩', '頭暈', '視力模糊', '腦梗塞']","['腦梗塞', '暈眩', '腦部', '養生保健', '醫院', '視力模糊', '頭暈', '嚴重']"
錳超標致神經退化？鋁鍋、不鏽鋼鍋...安全鍋具怎麼挑？,https://www.everydayhealth.com.tw//article/14374,"['生活智慧', '錳', '便當', '鍋具', '不鏽鋼鍋']","['不鏽鋼鍋', '材質', '鍋具', '不鏽鋼', '餐具', '錳', '金屬', '生活智慧', '便當']"
日醫師教吃香蕉排鈉降尿酸，男星實測1週就有感！,https://www.everydayhealth.com.tw//article/21994,"['健康飲食', '香蕉', '鉀', '普林', '腦中風', '尿酸', '痛風']","['痛風', '節目', '鉀', '普林', '尿酸', '香蕉', '預防', '健康飲食', '腦中風']"
懷孕初期出血？別慌！婦科院長完整解析孕期出血原因,https://www.everydayhealth.com.tw//article/17433,"['西醫醫學', '懷孕', '流產', '發燒', '頭痛', '水腫', '高血壓', '就醫']","['胎兒', '懷孕', '就醫', '頭痛', '流產', '水腫', '胎盤', '出血', '西醫醫學', '發燒', '狀況', '高血壓']"
人手「一袋」放毒致癌？食藥署：2狀況別再用了！,https://www.everydayhealth.com.tw//article/21998,"['保健新聞', '致癌']","['防油', '食藥署', '致癌', '氟烷', '紙袋', '保健新聞']"
視力模糊、視野扭曲…整天盯3C當心失明！台大醫師欽點5招舒緩眼過勞,https://www.everydayhealth.com.tw//article/21990,"['健康飲食', '葉黃素', '蝦紅素', '眼睛健康']","['葉黃素', '補充', '眼睛健康', '蝦紅素', '眼過', '黃斑部', '病變', '健康飲食']"
浴室細菌竟致肺病感染！1表教你完整根除頑固的浴室黴菌！,https://www.everydayhealth.com.tw//article/21893,"['清潔/打掃', '浴室', '細菌', '清潔']","['細菌', '打掃', '浴室', '徹底', 'MAC', '清潔', '清潔/打掃', '黴菌']"
吃炸物怕胖？專家曝「最吃不胖3吃法」義大利麵也照吃,https://www.everydayhealth.com.tw//article/21969,"['健康飲食', '油炸食物', '義大利麵', '碳水化合物', '血糖', '吃不胖', '肥胖']","['發胖', '皂素', '義大利麵', '營養', '吃不胖', '血糖', '碳水化合物', '檸檬', '義大利', '油炸食物', '肥胖', '健康飲食']"
頻尿嚴重竟要洗腎！2招練習改善「膀胱過動症」,https://www.everydayhealth.com.tw//article/21956,"['對抗老化', '頻尿', '尿失禁', '憋尿', '泌尿腎臟', '洗腎', '腎衰竭']","['頻尿', '膀胱', '腎衰竭', '泌尿腎臟', '憋尿', '尿失禁', '過動性', '洗腎', '對抗老化', '尿意', '動作']"
番茄味噌湯預防心肌梗塞，多1匙讓營養功效不流失,https://www.everydayhealth.com.tw//article/21952,"['健康飲食', '小番茄', '茄紅素', '動脈硬化', '腦中風', '心肌梗塞', '味噌湯']","['心肌梗塞', '味噌湯', '茄紅素', '番茄', '七葉', '小番茄', '預防', '紅素', '健康飲食', '腦中風', '動脈硬化']"
日本股神的幸福理財學：當你感到幸福，才是真正把錢用在刀口上！,https://www.everydayhealth.com.tw//article/21964,"['生活智慧', '理財']","['理財', '浪費', '價值', '來說', '生活智慧', '秋刀魚', '投資']"
別讓脂肪肝釀成癌！研究：吃豆腐、喝咖啡，降10％脂肪肝！,https://www.everydayhealth.com.tw//article/21940,"['健康飲食', '豆腐', '咖啡', '綠原酸', '內臟脂肪', '非酒精性脂肪肝', '豆類']","['脂肪肝', '內臟脂肪', '非酒精性脂肪肝', '肝臟', '咖啡', '綠原', '綠原酸', '豆腐', '預防', '豆類', '健康飲食']"
便祕困擾40年、10天上不出來，醫師「1通電話」順了！,https://www.everydayhealth.com.tw//article/21816,"['養生保健', '便祕', '改善便祕運動', '便秘', '宿便', '排便不順暢', '壓力紓解']","['改善便祕運動', '便祕', '排便不順暢', '壓力紓解', '排便', '養生保健', '壓力', '糞便', '便秘', '宿便']"
不花錢的按摩法！放鬆緊繃太陽穴，即刻舒緩難解的偏頭痛,https://www.everydayhealth.com.tw//article/21936,"['頭痛/偏頭痛', '舒緩痠痛運動']","['頭痛/偏頭痛', '緊繃', '舒緩痠痛運動', '頭部', '臉部', '太陽穴', '按摩']"
不生病的奇蹟！告別癌症發炎，五色蔬果這樣吃就對了,https://www.everydayhealth.com.tw//article/5322,"['健康飲食', '蔬菜', '水果', '五色蔬果', '多色蔬果']","['健康', '五色蔬果', '水果', '蔬菜', '葉綠素', '蔬果', '黃色', '多色蔬果', '健康飲食', '發炎']"
忙碌+外食+少動？40歲的你別透支60歲的健康！,https://www.everydayhealth.com.tw//article/21973,"['健康飲食', '外食', '外食族', '均衡飲食']","['營養', '均衡飲食', '外食族', '儘量', '上班族', '攝取', '三餐', '健康飲食', '外食']"
吃花生竟能降血壓？醫學教授推薦花生最強吃法！,https://www.everydayhealth.com.tw//article/21888,"['健康飲食', '降血壓', '高血壓', '花生', '豆類', '醋', '腦中風']","['花生', '血壓', '降血壓', '血管', '醋', '健康飲食', '擴張', '豆類', '腦中風', '高血壓']"
大人的放鬆練習！癌症專家「排毒靜坐法」清理癌細胞,https://www.everydayhealth.com.tw//article/10469,"['其他身心健康', '心靈', '癌症', '放鬆', '自癒', '抗癌']","['癌症', '靜坐', '深層', '心靈', '其他身心健康', '腳趾', '抗癌', '自癒', '練習', '放鬆']"
膀胱癌患者9成有血尿！醫揪1惡習增7倍膀胱癌風險,https://www.everydayhealth.com.tw//article/17802,"['保健新聞', '膀胱癌', '血尿', '抽菸', '喝酒', '男性']","['膀胱', '喝酒', '男性', '膀胱癌', '治療', '發生', '抽菸', '血尿', '保健新聞']"
喝咖啡、吃菠菜，離癌症遠一點！預防癌症的強力抗氧化飲食,https://www.everydayhealth.com.tw//article/21942,"['健康飲食', '防癌抗氧化食材', '預防癌症飲食', '十大癌症', '大腸癌', '綠原酸']","['預防癌症飲食', '十大癌症', '抗氧化', '癌症', '罹癌', '綠原酸', '防癌抗氧化食材', '風險', '飲食', '健康飲食', '大腸癌']"
內耳水腫！30歲後，如何改善梅尼爾氏症引起的眩暈耳鳴？,https://www.everydayhealth.com.tw//article/21946,"['養生保健', '梅尼爾氏症', '淋巴', '頭暈', '暈眩', '耳鳴']","['淋巴液', '耳鳴', '淋巴', '梅尼爾氏症', '暈眩', '養生保健', '頭暈', '壓力', '內耳']"
WHO把偏頭痛列為失能！醫師2招鬆肩頸逆轉頭痛體質,https://www.everydayhealth.com.tw//article/21736,"['頭痛/偏頭痛', '肩頸僵硬', '偏頭痛']","['頭痛/偏頭痛', '頭痛', '簡單', '肩頸僵硬', '預防', '體操', '偏頭痛']"
40歲前，更年期提早報到？留意身體指標加食補 預防卵巢早衰！,https://www.everydayhealth.com.tw//article/21955,"['其他身心健康', '人蔘', '更年期', '卵巢']","['林家', '更年期', '高麗蔘', '其他身心健康', '食補', '卵巢', '女性', '人蔘']"
髮量多、少生病、走路超有力！70歲奶奶的年輕活力秘訣,https://www.everydayhealth.com.tw//article/14114,"['對抗老化', '伸展操', '肌肉鍛鍊']","['開始', '伸展操', '持續', '伸展', '肌肉鍛鍊', '對抗老化', '健康']"
日本人蛀牙不抽神經！蛀牙怎麼治？33年牙科名醫現身說法,https://www.everydayhealth.com.tw//article/18035,"['疾病迷思', '蛀牙', '牙齒', '牙周病']","['牙周病', '組織', '牙齒', '疾病迷思', '治療', '蛀牙', '神經']"
甲醛致癌、甲苯致死！NASA列「清空汙植物」蝴蝶蘭上榜了,https://www.everydayhealth.com.tw//article/21927,"['保健新聞', '甲醛屋', '有毒物質', '淨化空氣', '空氣品質', '空氣汙染', '空氣清淨機']","['二甲苯', '龍血樹', '甲苯', '空氣汙染', '甲醛屋', '甲醛', '有毒物質', 'NASA', '淨化空氣', '保健新聞', '空氣清淨機', '空氣品質']"
衣服難乾發臭？達人曝速乾5妙招，「幽靈晾衣法」乾超快,https://www.everydayhealth.com.tw//article/21924,"['清潔/打掃', '洗衣', '曬衣服', '除臭', '梅雨季', '清潔', '洗衣機清洗']","['衣物', '洗衣', '晾衣', '發臭', '曬衣服', '清潔', '洗衣機清洗', '清潔/打掃', '梅雨季', '除臭', '晾乾', '達人']"
視力到老都好！胡蘿蔔汁預防老花，按對穴道改善飛蚊症,https://www.everydayhealth.com.tw//article/21886,"['健康飲食', '飛蚊症', '眼睛疲勞', '眼睛健康', 'β-胡蘿蔔素', '胡蘿蔔', '穴道按摩']","['β-胡蘿蔔素', '眼睛疲勞', '飛蚊症', '眼部', '眼睛健康', '胡蘿蔔素', '穴道按摩', '預防', '胡蘿蔔', '健康飲食', '胡蘿蔔汁']"
肩頸僵硬痠痛？學會捏耳垂、動手臂，鬆解痠痛不求人！,https://www.everydayhealth.com.tw//article/21755,"['肩頸痠痛', '肩頸僵硬', '肩膀酸痛', '淋巴', '耳朵', '肩關節', '肩胛骨']","['肩關節', '酸痛', '淋巴', '肩頸僵硬', '耳朵', '耳垂', '肩膀酸痛', '肩胛骨', '肩膀', '肩頸痠痛', '僵硬']"
老是過敏，可能是維生素D不夠！最有效補充法讓免疫不失常,https://www.everydayhealth.com.tw//article/21901,"['健康飲食', '維生素D', '鼻子過敏', '打噴嚏', '流鼻水', '魚', '過敏原', '鼻塞']","['流鼻水', '過敏原', '鼻子過敏', '打噴嚏', '過敏', '維生素D', '補充', '維生素', '營養', '魚', '攝取', '鼻塞', '健康飲食']"
比普通綠茶好！「抹茶」護眼整腸，補充葉黃素、2倍兒茶素,https://www.everydayhealth.com.tw//article/21880,"['健康飲食', '抹茶', '綠茶/茶類', '養生茶飲', '整腸解便秘食材', '腹瀉', '下痢', '大腸癌']","['葉黃素', '整腸解便秘食材', '養生茶飲', '綠茶/茶類', '攝取', '井上', '腹瀉', '健康飲食', '茶葉', '下痢', '抹茶', '腸道', '大腸癌']"
醫生教妳輕鬆照護灰指甲 夏天美美穿涼鞋，讓指甲不再羞於見人,https://www.everydayhealth.com.tw//article/21891,"['西醫醫學', '灰指甲', '夏天', '黴菌感染']","['照顧', '夏天', '黴菌感染', '治療', '灰指甲', '指甲', '西醫醫學', '黴菌']"
馬如龍傳肺腺癌病逝！4大肺部警訊「這症狀」常被誤認感冒,https://www.everydayhealth.com.tw//article/21928,"['保健新聞', '肺腺癌', '肺癌']","['肺癌', '腺癌', '腫瘤', '馬如龍', '肺腺癌', '保健新聞', '肺部']"
雜音太吵睡不好？5招隔音大法隔絕噪音，整夜「好眠不覺曉」,https://www.everydayhealth.com.tw//article/21908,"['生活智慧', '噪音', '聲音', '生活妙招', '生活常識', '居家', '半夜哭鬧']","['隔音', '生活妙招', '噪音', '聲音', '生活常識', '半夜哭鬧', '隔絕', '居家', '鄰居', '生活智慧', '汽機']"
髖關節痛到受不了？學會1招，邊睡覺邊修復髖關節,https://www.everydayhealth.com.tw//article/21531,"['關節疼痛', '髖關節', '腰痛', '骨盆']","['關節疼痛', '歪斜', '髖關節', '繩子', '扭曲', '疼痛', '腰痛', '骨盆']"
預防大腸癌！女人喝咖啡，男人多運動，最高降40％風險,https://www.everydayhealth.com.tw//article/21899,"['健康飲食', '大腸直腸癌', '抗癌', '癌症飲食', '防癌抗氧化食材', '預防癌症', '咖啡', '運動']","['運動', '預防癌症', '男性', '罹患', '喝咖啡', '大腸直腸癌', '咖啡', '抗癌', '腸癌', '防癌抗氧化食材', '女性', '癌症飲食', '健康飲食']"
吃隔夜飯竟中毒狂吐？營養師：1分鐘滅菌防毒這樣做,https://www.everydayhealth.com.tw//article/21897,"['養生保健', '炒飯', '剩菜', '食物中毒']","['便當', '剩菜', '炒飯', '隔夜飯', '食物中毒', '養生保健', '加熱', '仙人掌', '桿菌']"
腳趾是「氣」的起點與終點！醫學專家「腳趾操」改善頭痛耳鳴,https://www.everydayhealth.com.tw//article/21875,"['養生保健', '腳趾按摩', '頭暈', '耳鳴', '頭痛', '頸椎', '脖子酸痛']","['耳鳴', '頭痛', '腳趾按摩', '腳趾', '脖子', '頸椎', '暈眩', '養生保健', '頭暈', '脖子酸痛']"
全家中毒…廚房這塊最危險！按這張表找出廚房隱藏毒雷,https://www.everydayhealth.com.tw//article/21894,"['清潔/打掃', '廚房']","['海綿', '熱水', '清潔/打掃', '廚房', '預防', '檸檬酸']"
40後照樣青春迷人，不老女星內田有紀的保養祕訣,https://www.everydayhealth.com.tw//article/21887,"['對抗老化', '抗老化保養祕訣', '酵素', '騎單車', '衰老', '綠拿鐵', '雕塑身材']","['內田', '美麗', '雕塑身材', '有紀', '女星', '衰老', '騎單車', '對抗老化', '抗老化保養祕訣', '維持', '酵素', '綠拿鐵']"
看鼻子發現高血壓、心臟病！不花1塊錢自測心血管風險,https://www.everydayhealth.com.tw//article/21855,"['養生保健', '心臟病', '高血壓', '鼻子']","['心臟', '養生保健', '心臟病', '鼻子', '三浦', '高血壓']"
瓊瑤丈夫平鑫濤92歲病逝，生前盼瀟灑離去，花葬歸塵詩意長眠,https://www.everydayhealth.com.tw//article/21898,"['生活便利貼', '樹葬']","['樹葬', '平鑫濤', '瓊瑤', '依依', '鑫濤', '生活便利貼', '沒有']"
賀一航大腸癌驟逝享壽64歲，大腸癌除了血便還有哪些症狀？,https://www.everydayhealth.com.tw//article/21337,"['養生保健', '大腸癌', '大腸癌前兆', '大腸直腸癌']","['化療', '大腸直腸癌', '大腸癌前兆', '檢查', '養生保健', '糞便', '大腸', '大腸癌']"
「癌症，送我的禮物」陳文茜自省：我看到自己的自私,https://www.everydayhealth.com.tw//article/21879,"['其他身心健康', '肺癌', '肺腺癌', '陳文茜']","['肺癌', '罹癌', '其他身心健康', '沒有', '禮物', '肺腺癌', '陳文茜', '許多']"
踮腳尖最能鍛鍊足弓！沒事踮腳尖，走路平衡不跌倒,https://www.everydayhealth.com.tw//article/1830,"['養生保健', '踮腳尖', '姿勢不良', '高弓足', '扁平足', '減重']","['腳底', '姿勢不良', '足弓', '腳趾', '腳尖', '扁平足', '踮腳尖', '高弓足', '養生保健', '減重']"
夏天當令！自製香甜「西瓜糖」護腎消水腫,https://www.everydayhealth.com.tw//article/21246,"['健康飲食', '西瓜', '糖', '消水腫', '利尿', '排泄廢物']","['消水腫', '利尿', '腎臟', '排泄廢物', '水腫', '藥草', '西瓜', '糖', '健康飲食']"
